,age,sex,job,housing,saving_accounts,checking_account,credit_amount,duration,purpose,risk,reference,income,cpf,score_serasa
986,33,male,2,own,little,rich,6289,42,business,good,2023-03,,948.698.171-01,252
987,64,female,2,own,moderate,,1409,13,radio/TV,good,2023-04,,941.380.307-27,389
988,29,male,3,free,little,little,6579,24,car,good,2023-01,,348.335.813-70,593
989,48,male,1,own,little,moderate,1743,24,radio/TV,good,2023-02,,285.806.091-60,882
990,37,male,1,own,,,3565,12,education,good,2023-03,,813.111.937-82,255
991,34,male,1,own,moderate,,1569,15,radio/TV,good,2023-04,,386.739.206-47,708
992,23,male,1,rent,,little,1936,18,radio/TV,good,2023-01,,587.363.407-66,814
993,30,male,3,own,little,little,3959,36,furniture/equipment,good,2023-02,,560.331.394-37,920
994,50,male,2,own,,,2390,12,car,good,2023-03,,585.763.948-47,449
995,31,female,1,own,little,,1736,12,furniture/equipment,good,2023-04,,770.630.146-09,9
996,40,male,3,own,little,little,3857,30,car,good,2023-01,,732.160.538-81,823
997,38,male,2,own,little,,804,12,radio/TV,good,2023-02,,215.553.905-36,797
998,23,male,2,free,little,little,1845,45,radio/TV,bad,2023-03,,825.223.274-45,241
999,27,male,2,own,moderate,moderate,4576,45,car,good,2023-04,,130.284.261-70,250
